Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Mean,Bwd Pkt Len Mean,Flow Byt/s,Flow Pkts/s,Pkt Len Mean,Pkt Len Std,SYN Flag Cnt,ACK Flag Cnt,FIN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,URG Flag Cnt,Label
0.49744642,-0.7862073,5.2206903,7.904681,1.4570388,2.3642588,2.4226687,-1.3832922,1.2347867,-1.7752374,-3.8430943,-1.0334862,0.39598477,-1.8207883,-4.6342034,2.0214088,2.3040242,-2.3086662,0
-3.5286303,2.3996835,-2.6618338,-10.440907,-0.84715873,2.7510226,-1.5635954,0.6773245,3.3517444,0.36279634,1.2768663,2.563902,-1.3651594,1.2162349,0.36437893,-6.054526,1.4808451,-0.097247325,0
-2.6666737,2.34344,-7.629246,-7.10776,1.7665629,2.1284084,2.947061,-0.5190505,-6.9204226,4.56302,3.3161013,-0.72322357,0.80903924,2.5927017,1.1757005,-2.6841092,-2.448962,-0.8405227,0
-0.4783025,0.76516014,-1.6373067,-5.022204,-0.6007859,0.042076897,-0.5174726,-0.41609785,4.797693,-1.7343007,2.931365,1.5058063,0.54613,-2.9082053,0.21732444,-0.18238144,-1.978839,2.67879,0
-3.3375328,-0.013722725,-2.2201803,-4.521041,0.9620668,0.52621764,-0.1748246,0.4439306,5.0443816,-0.77467775,-2.2282217,-0.37955844,0.6431484,-3.513475,4.408369,-1.7678202,2.4641373,-2.4970133,0
3.226742,-0.35999778,1.0180489,5.562612,0.89294505,0.9785338,1.4502231,-0.051784884,0.41342565,-1.2164764,-1.7669247,-1.0692005,0.29640046,-0.48128653,-1.7391465,-0.37367395,0.5339183,-2.2428298,0
-4.856012,0.5417327,-8.592454,-5.65334,1.1863638,1.4519506,2.5808506,-1.198858,-4.4417357,3.302053,2.5296776,-0.53921455,-1.0515864,1.2355062,2.27579,-2.3359935,-3.603891,0.21003002,0
-0.2013829,1.2005739,-3.0427296,-3.7995312,0.3857043,2.7904358,-1.1528834,0.8335062,3.034909,0.68954843,2.1665947,0.6002205,-0.92328566,-0.16540845,3.525748,0.61582047,-1.400816,0.86598897,0
1.1656858,0.25836563,-4.5447364,-3.1145766,-1.6310787,1.560813,1.0078771,-0.9969265,3.3953283,0.38830218,1.7755691,-0.08183553,1.016531,-4.055084,0.93305665,-0.5244023,-2.3686852,-0.47676617,0
-0.60337317,0.73375636,-2.4849193,-5.5708475,1.1291338,0.7919555,-0.24140891,-1.416435,-2.916764,1.6875896,2.4978774,-1.0238236,1.1807595,1.0187522,-1.2727915,-3.1257887,-0.42636985,-0.19955015,0
